$X,$Y,$H,$SL1,$SL2,$SL3,$SL4,$WWR_S,$WWR_N,$WWR_E, $WWR_W,$ORI,$WALL_U,$WIN_U,$GFLOOR_U, $FLOOR_SH,$ROOF_U,$WIN_G,$ACH,$LHG,$EHG,$ChillerCOP,$BoilerEfficiency,$ChillerPumpTypeCat,$BoilerPumpTypeCat,$ChillerTypeCat,Peak: Ground Floor,Peak: Intermediate Floor,Peak: Top Floor,Mean: Ground Floor,Mean: Intermediate Floor,Mean: Top Floor,Peak: Boiler Energy,Mean: Boiler Energy,Total: Boiler Energy
63.88671875,68.22265625,3.934570313,0.560654297,0.648369141,3.854833984,1.700947266,0.337714844,0.110058594,0.247753906,0.159628906,-5.2734375,0.048789063,0.519042969,0.055585938,934.8632813,0.056445313,0.51015625,0.52734375,9.997070313,14.35058594,3.043945313,0.869042969,1,1,1,56753.51445,48807.58476,59391.36555,2355.766379,1067.255846,1241.374068,238056.3346,6089.856996,53347147.29
78.88671875,23.22265625,4.684570313,4.303154297,1.895869141,2.607333984,2.948447266,0.102714844,0.345058594,0.012753906,0.394628906,-95.2734375,0.058789063,1.644042969,0.065585938,1159.863281,0.066445313,0.31015625,0.32734375,8.247070313,10.60058594,3.793945313,0.794042969,0,0,1,45785.68785,42120.68666,52965.59583,2617.751406,1483.545848,2275.660618,158538.8252,9162.340986,80262107.04
48.88671875,53.22265625,3.184570313,1.808154297,4.390869141,0.112333984,0.453447266,0.572714844,0.815058594,0.482753906,0.864628906,84.7265625,0.038789063,0.894042969,0.045585938,1009.863281,0.046445313,0.71015625,0.72734375,11.74707031,13.10058594,5.293945313,0.944042969,1,1,0,27709.93183,19022.53077,18290.88114,1989.946611,1109.242802,1312.255259,125198.3585,3679.642801,32233670.94
41.38671875,30.72265625,4.309570313,2.431904297,3.767119141,1.983583984,3.572197266,0.220214844,0.462558594,0.365253906,0.277128906,39.7265625,0.053789063,0.706542969,0.040585938,1047.363281,0.041445313,0.81015625,0.22734375,5.622070313,12.47558594,4.918945313,0.831542969,1,1,1,16568.96436,14323.68926,15998.76258,1357.132382,820.8151099,1024.296309,97621.40501,5402.017542,47321673.67
71.38671875,60.72265625,5.809570313,4.926904297,1.272119141,4.478583984,1.077197266,0.690214844,0.932558594,0.835253906,0.747128906,-140.2734375,0.033789063,1.456542969,0.060585938,1197.363281,0.061445313,0.41015625,0.62734375,9.122070313,14.97558594,3.418945313,0.981542969,0,0,0,144350.0433,137885.2774,160490.1337,10052.03549,7374.852673,9564.323831,475050.7808,32774.56952,287105229
56.38671875,45.72265625,3.559570313,1.184404297,0.024619141,3.231083984,4.819697266,0.925214844,0.697558594,0.600253906,0.512128906,-50.2734375,0.063789063,1.081542969,0.050585938,972.3632813,0.051445313,0.61015625,0.82734375,7.372070313,11.22558594,4.168945313,0.756542969,1,1,0,64286.76756,58418.91829,62253.93167,4008.446873,2708.39589,3301.319728,206306.5757,14948.43363,130948278.6
26.38671875,75.72265625,5.059570313,3.679404297,2.519619141,0.736083984,2.324697266,0.455214844,0.227558594,0.130253906,0.042128906,129.7265625,0.043789063,1.831542969,0.030585938,1122.363281,0.031445312,0.21015625,0.42734375,10.87207031,13.72558594,5.668945313,0.906542969,0,0,1,40149.10284,38056.20045,40830.05017,1440.270092,936.2972001,1039.44477,139265.6181,3737.401662,32739638.56
24.51171875,43.84765625,3.840820313,1.340341797,2.363681641,4.634521484,0.921259766,0.895839844,0.080683594,0.688378906,0.012753906,5.9765625,0.055039063,1.784667969,0.056835938,1019.238281,0.037695313,0.33515625,0.85234375,8.028320313,14.19433594,5.575195313,0.915917969,0,1,0,34967.40296,32375.8232,33910.48082,2613.966608,1806.791261,1958.812903,111216.6281,8891.594222,77890365.38
54.51171875,73.84765625,5.340820313,3.835341797,4.858681641,2.139521484,3.416259766,0.425839844,0.550683594,0.218378906,0.482753906,-174.0234375,0.035039063,1.034667969,0.036835938,1169.238281,0.057695313,0.73515625,0.45234375,11.52832031,11.69433594,4.075195313,0.765917969,1,0,1,73092.08874,69007.83047,84240.34495,2512.597061,1630.473316,2534.013043,279905.7754,6142.868314,53811526.43
69.51171875,28.84765625,3.090820313,0.092841797,3.611181641,0.892021484,2.168759766,0.190839844,0.785683594,0.453378906,0.717753906,-84.0234375,0.065039063,1.409667969,0.046835938,944.2382813,0.067695313,0.13515625,0.25234375,6.278320313,12.94433594,3.325195313,0.990917969,0,1,1,26787.43939,24781.85836,35198.33902,1211.784449,521.3722327,746.7586376,115866.5225,4901.374315,42936039
39.51171875,58.84765625,4.590820313,2.587841797,1.116181641,3.387021484,4.663759766,0.660839844,0.315683594,0.923378906,0.247753906,95.9765625,0.045039063,0.659667969,0.066835938,1094.238281,0.047695313,0.53515625,0.65234375,9.778320313,10.44433594,4.825195313,0.840917969,1,0,0,57404.16129,47110.33335,50571.62668,3443.712546,2064.083604,2508.115016,164717.559,10282.55012,90075139.04
47.01171875,21.34765625,5.715820313,3.211591797,0.492431641,4.010771484,1.545009766,0.073339844,0.903183594,0.100878906,0.835253906,140.9765625,0.060039063,1.222167969,0.061835938,1056.738281,0.042695313,0.63515625,0.35234375,7.153320313,14.81933594,5.950195313,0.953417969,1,0,1,34411.02854,31458.94124,32032.6455,2382.632341,1541.234818,1626.199498,104227.6643,6608.250275,57888272.41
77.01171875,51.34765625,4.215820313,0.716591797,2.987431641,1.515771484,4.040009766,0.543339844,0.433183594,0.570878906,0.365253906,-39.0234375,0.040039063,1.972167969,0.041835938,906.7382813,0.062695313,0.23515625,0.75234375,10.65332031,12.31933594,4.450195313,0.803417969,0,1,0,95807.24976,93323.49876,113155.4707,5179.000215,3811.566838,5244.085149,344600.51,19006.75968,166499214.8
62.01171875,36.34765625,4.965820313,4.459091797,4.234931641,0.268271484,0.297509766,0.778339844,0.198183594,0.805878906,0.130253906,-129.0234375,0.050039063,0.847167969,0.031835938,1131.738281,0.052695313,0.83515625,0.95234375,5.403320313,13.56933594,3.700195313,0.878417969,1,0,0,88219.87385,87556.83595,97473.5963,6535.990271,5753.431182,7135.699958,284198.027,24597.17703,215471270.8
32.01171875,66.34765625,3.465820313,1.964091797,1.739931641,2.763271484,2.792509766,0.308339844,0.668183594,0.335878906,0.600253906,50.9765625,0.030039062,1.597167969,0.051835938,981.7382813,0.032695313,0.43515625,0.55234375,8.903320313,11.06933594,5.200195313,0.728417969,0,1,1,37274.71189,30054.55992,29201.67287,1832.119336,954.16554,910.2822328,113457.195,5435.174899,47612132.12
28.26171875,32.59765625,5.153320313,1.028466797,4.546806641,3.698896484,1.856884766,0.014589844,0.844433594,0.864628906,0.659003906,28.4765625,0.042539063,0.753417969,0.049335938,1075.488281,0.065195313,0.58515625,0.30234375,6.715820313,14.50683594,4.262695313,0.859667969,1,1,0,18771.64492,16126.32224,20082.97368,1700.529313,1184.505992,1563.68535,93837.47849,6977.299894,61121147.07
58.26171875,62.59765625,3.653320313,3.523466797,2.051806641,1.203896484,4.351884766,0.484589844,0.374433594,0.394628906,0.189003906,-151.5234375,0.062539063,1.503417969,0.069335938,925.4882813,0.045195313,0.18515625,0.70234375,10.21582031,12.00683594,5.762695313,0.709667969,0,0,1,75514.71686,66495.01801,78988.77478,3899.801412,1972.943457,2067.022384,258948.3735,10080.33968,88303775.58
73.26171875,47.59765625,5.903320313,2.275966797,0.804306641,2.451396484,0.609384766,0.719589844,0.139433594,0.159628906,0.424003906,-61.5234375,0.032539063,1.128417969,0.059335938,1150.488281,0.035195313,0.78515625,0.90234375,8.465820313,13.25683594,5.012695313,0.934667969,1,1,1,145930.6669,135355.9224,137447.6511,11160.08538,8748.886731,9530.309172,441151.5491,40097.3996,351253220.5
43.26171875,77.59765625,4.403320313,4.770966797,3.299306641,4.946396484,3.104384766,0.249589844,0.609433594,0.629628906,0.894003906,118.4765625,0.052539063,1.878417969,0.039335938,1000.488281,0.055195313,0.38515625,0.50234375,11.96582031,10.75683594,3.512695313,0.784667969,0,0,0,66391.39003,61442.78148,67293.91248,3064.981172,2046.864449,2735.041932,218500.3887,8796.635377,77058525.91
35.76171875,40.09765625,3.278320313,4.147216797,2.675556641,3.075146484,1.233134766,0.837089844,0.021933594,0.277128906,0.306503906,163.4765625,0.037539063,1.315917969,0.034335938,1037.988281,0.050195313,0.48515625,0.80234375,5.840820313,13.88183594,3.887695313,0.972167969,0,0,1,32144.69571,31220.62706,36825.01816,1807.168136,1260.144448,1562.538482,113582.7384,6296.81123,55160066.38
65.76171875,70.09765625,4.778320313,1.652216797,0.180556641,0.580146484,3.728134766,0.367089844,0.491933594,0.747128906,0.776503906,-16.5234375,0.057539063,0.565917969,0.054335938,1187.988281,0.030195312,0.88515625,0.40234375,9.340820313,11.38183594,5.387695313,0.822167969,1,1,0,61506.04174,41331.21669,37876.53769,4510.861376,2561.086075,2686.153373,296980.9576,9710.139541,85060822.38
50.76171875,25.09765625,4.028320313,2.899716797,1.428056641,1.827646484,2.480634766,0.132089844,0.726933594,0.512128906,0.541503906,-106.5234375,0.047539063,1.690917969,0.064335938,962.9882813,0.040195313,0.28515625,0.20234375,7.590820313,12.63183594,4.637695313,0.897167969,0,0,0,24929.14259,21799.12105,24943.20236,1405.66013,635.3123654,602.0609701,85199.16112,3915.030291,34295665.35
20.76171875,55.09765625,5.528320313,0.404716797,3.923056641,4.322646484,4.975634766,0.602089844,0.256933594,0.042128906,0.071503906,73.4765625,0.067539063,0.940917969,0.044335938,1112.988281,0.060195313,0.68515625,0.60234375,11.09082031,10.13183594,3.137695313,0.747167969,1,1,1,41353.08051,39493.88323,43867.22519,2489.098179,1926.628674,2627.874455,135569.1061,9353.060191,81932807.27
20.52734375,45.01953125,3.219726563,2.646318359,1.681455078,0.755576172,0.589892578,0.524980469,0.194511719,0.317519531,0.200019531,43.9453125,0.060507813,1.860839844,0.061054688,957.1289063,0.055976563,0.76953125,0.38671875,9.368164063,11.71386719,4.438476563,0.888964844,1,0,0,16161.54141,12615.21882,14654.15607,1002.157297,530.9323141,692.6313667,56051.1775,3137.920496,27488183.55
50.52734375,75.01953125,4.719726563,0.151318359,4.176455078,3.250576172,3.084892578,0.054980469,0.664511719,0.787519531,0.670019531,-136.0546875,0.040507813,1.110839844,0.041054688,1107.128906,0.035976563,0.36953125,0.78671875,5.868164063,14.21386719,5.938476563,0.738964844,0,1,1,116895.6695,113065.1992,124140.2663,8173.908531,6239.577154,7071.965542,397978.0564,29798.78031,261037315.5
65.52734375,30.01953125,3.969726563,3.893818359,2.928955078,4.498076172,1.837392578,0.289980469,0.899511719,0.552519531,0.905019531,-46.0546875,0.050507813,1.485839844,0.031054688,1032.128906,0.045976563,0.56953125,0.98671875,11.11816406,10.46386719,5.188476563,0.963964844,1,0,1,59414.77647,57321.73916,59394.89133,3575.472311,3004.772886,3655.739039,183147.514,12637.89087,110707924
35.52734375,60.01953125,5.469726563,1.398818359,0.433955078,2.003076172,4.332392578,0.759980469,0.429511719,0.082519531,0.435019531,133.9453125,0.030507813,0.735839844,0.051054688,1182.128906,0.065976563,0.16953125,0.58671875,7.618164063,12.96386719,3.688476563,0.813964844,0,1,0,63526.64114,60667.52574,73291.41304,3860.83579,2760.406283,4002.241602,227372.2893,15023.57103,131606482.2
43.02734375,22.51953125,5.094726563,2.022568359,1.057705078,0.131826172,2.461142578,0.407480469,0.782011719,0.905019531,0.787519531,178.9453125,0.055507813,0.923339844,0.056054688,1144.628906,0.060976563,0.26953125,0.88671875,10.24316406,12.33886719,4.063476563,0.926464844,0,1,1,41687.78214,40242.87955,45323.09771,3285.584847,2604.077199,3321.579422,136878.1717,11774.68247,103146218.4
73.02734375,52.51953125,3.594726563,4.517568359,3.552705078,2.626826172,4.956142578,0.877480469,0.312011719,0.435019531,0.317519531,-1.0546875,0.035507813,1.673339844,0.036054688,994.6289063,0.040976563,0.66953125,0.48671875,6.743164063,14.83886719,5.563476563,0.776464844,1,0,0,49962.92176,37937.82149,41217.64314,2959.299768,1804.635148,1996.089087,281191.5723,10357.1074,90728260.84
58.02734375,37.51953125,5.844726563,0.775068359,4.800205078,3.874326172,1.213642578,0.642480469,0.077011719,0.200019531,0.082519531,-91.0546875,0.065507813,0.548339844,0.046054688,1069.628906,0.030976563,0.46953125,0.28671875,11.99316406,11.08886719,4.813476563,0.851464844,0,1,0,41681.39887,36453.33671,36828.12461,1485.99286,862.6792498,996.4537396,148065.3627,3802.995499,33314240.58
28.02734375,67.51953125,4.344726563,3.270068359,2.305205078,1.379326172,3.708642578,0.172480469,0.547011719,0.670019531,0.552519531,88.9453125,0.045507813,1.298339844,0.066054688,919.6289063,0.050976563,0.86953125,0.68671875,8.493164063,13.58886719,3.313476563,0.701464844,1,0,1,49100.60589,38694.18939,45470.64735,4846.776855,3333.746539,3782.995746,194601.9442,19049.57121,166874243.8
31.77734375,33.76953125,5.657226563,4.829443359,3.864580078,2.314951172,2.149267578,0.466230469,0.723261719,0.023769531,0.493769531,21.4453125,0.038007813,0.642089844,0.033554688,1125.878906,0.048476563,0.11953125,0.83671875,10.68066406,12.02636719,5.375976563,0.870214844,0,0,0,41861.33989,41242.33136,45568.56716,2692.018142,2314.848969,2963.483217,135862.4284,10010.33789,87690559.9
61.77734375,63.76953125,4.157226563,2.334443359,1.369580078,4.809951172,4.644267578,0.936230469,0.253261719,0.493769531,0.023769531,-158.5546875,0.058007813,1.392089844,0.053554688,975.8789063,0.068476563,0.51953125,0.43671875,7.180664063,14.52636719,3.875976563,0.720214844,1,1,1,71080.18149,65949.3841,87204.34076,3617.11856,1984.568996,2681.82103,292173.8259,12468.11958,109220727.5
76.77734375,48.76953125,4.907226563,3.581943359,0.122080078,3.562451172,0.901767578,0.701230469,0.018261719,0.728769531,0.258769531,-68.5546875,0.048007813,1.017089844,0.063554688,1050.878906,0.058476563,0.31953125,0.23671875,8.930664063,10.77636719,3.125976563,0.945214844,0,0,1,59798.4639,50735.1027,64490.60925,2182.929499,868.0673099,1293.085604,225119.6009,6581.21707,57651461.53
46.77734375,78.76953125,3.407226563,1.086943359,2.617080078,1.067451172,3.396767578,0.231230469,0.488261719,0.258769531,0.728769531,111.4453125,0.068007813,1.767089844,0.043554688,900.8789063,0.038476563,0.71953125,0.63671875,5.430664063,13.27636719,4.625976563,0.795214844,1,1,0,72415.60733,63288.72566,64437.44978,4404.328545,2639.934362,2592.940355,231232.7874,15806.47962,138464761.5
39.27734375,41.26953125,3.782226563,0.463193359,3.240830078,1.691201172,0.278017578,0.583730469,0.135761719,0.611269531,0.376269531,156.4453125,0.043007813,1.579589844,0.048554688,938.3789063,0.033476563,0.81953125,0.33671875,11.55566406,11.40136719,5.750976563,0.982714844,1,1,1,20823.23512,15389.93177,12941.84035,652.3896214,194.3189603,138.9126817,71693.12567,959.0181048,8400998.598
69.27734375,71.26953125,5.282226563,2.958193359,0.745830078,4.186201172,2.773017578,0.113730469,0.605761719,0.141269531,0.846269531,-23.5546875,0.063007813,0.829589844,0.068554688,1088.378906,0.053476563,0.41953125,0.73671875,8.055664063,13.90136719,4.250976563,0.832714844,0,0,0,157250.8114,144925.8702,163320.445,10913.64787,7481.298105,9235.131264,502918.9376,35923.43912,314689326.7
54.27734375,26.26953125,3.032226563,1.710693359,1.993330078,2.938701172,1.525517578,0.348730469,0.840761719,0.376269531,0.611269531,-113.5546875,0.033007813,1.954589844,0.058554688,1013.378906,0.063476563,0.61953125,0.93671875,9.805664063,10.15136719,3.500976563,0.907714844,1,1,0,37235.86825,34829.90411,42112.47601,2265.887358,1496.665794,2070.916348,128412.8801,7840.131712,68679553.8
24.27734375,56.26953125,4.532226563,4.205693359,4.488330078,0.443701172,4.020517578,0.818730469,0.370761719,0.846269531,0.141269531,66.4453125,0.053007813,1.204589844,0.038554688,1163.378906,0.043476563,0.21953125,0.53671875,6.305664063,12.65136719,5.000976563,0.757714844,0,0,1,39328.83687,37293.90689,39767.60368,2585.029782,1880.760498,2234.971792,125311.4112,9799.580349,85844323.86
26.15234375,24.39453125,4.250976563,0.931005859,0.589892578,4.342138672,2.928955078,0.319355469,0.282636719,0.464394531,0.170644531,167.6953125,0.046757813,0.876464844,0.054804688,966.5039063,0.047226563,0.34453125,0.96171875,9.149414063,14.68261719,4.719726563,0.767089844,0,1,0,23686.13869,22442.93032,24874.12324,1699.597686,1252.198674,1487.556303,77545.61761,5697.742703,49912226.08
56.15234375,54.39453125,5.750976563,3.426005859,3.084892578,1.847138672,0.433955078,0.789355469,0.752636719,0.934394531,0.640644531,-12.3046875,0.066757813,1.626464844,0.034804688,1116.503906,0.067226563,0.74453125,0.56171875,5.649414063,12.18261719,3.219726563,0.917089844,1,0,1,106255.0644,99681.72271,107222.5418,8776.363647,7458.156308,9036.603264,359417.7368,40457.80233,354410348.4
71.15234375,39.39453125,3.500976563,2.178505859,4.332392578,0.599638672,4.176455078,0.554355469,0.517636719,0.699394531,0.875644531,-102.3046875,0.036757813,0.501464844,0.044804688,1041.503906,0.057226563,0.14453125,0.36171875,10.89941406,13.43261719,3.969726563,0.842089844,0,1,1,15515.11896,10111.49901,21156.04026,554.6729273,141.2972958,254.3128585,98609.17168,1221.965227,10704415.39
41.15234375,69.39453125,5.000976563,4.673505859,1.837392578,3.094638672,1.681455078,0.084355469,0.047636719,0.229394531,0.405644531,77.6953125,0.056757813,1.251464844,0.064804688,1191.503906,0.037226563,0.54453125,0.76171875,7.399414063,10.93261719,5.469726563,0.992089844,1,0,0,98597.70714,89495.04773,93129.96106,7310.898029,5022.631741,5716.38736,300484.0736,25445.78233,222905053.2
48.65234375,46.89453125,5.375976563,4.049755859,2.461142578,4.965888672,4.800205078,0.671855469,0.635136719,0.816894531,0.758144531,32.6953125,0.031757812,1.813964844,0.069804688,1154.003906,0.032226563,0.64453125,0.26171875,10.02441406,14.05761719,5.094726563,0.804589844,1,0,1,42788.23608,33332.09311,34822.24206,4437.0907,2742.157904,2901.842996,208194.0797,12684.30681,111114527.7
78.65234375,76.89453125,3.875976563,1.554755859,4.956142578,2.470888672,2.305205078,0.201855469,0.165136719,0.346894531,0.288144531,-147.3046875,0.051757813,1.063964844,0.049804688,1004.003906,0.052226563,0.24453125,0.66171875,6.524414063,11.55761719,3.594726563,0.954589844,0,1,0,128635.1121,120897.7349,149047.8356,7151.002952,4455.039156,5585.056273,483116.1793,26599.83645,233014567.3
63.65234375,31.89453125,4.625976563,2.802255859,3.708642578,1.223388672,3.552705078,0.436855469,0.400136719,0.111894531,0.053144531,-57.3046875,0.041757813,1.438964844,0.039804688,1079.003906,0.062226563,0.84453125,0.86171875,11.77441406,12.80761719,4.344726563,0.729589844,1,0,0,59201.34877,55810.39896,60591.94649,3438.820867,2814.176895,3782.577074,180561.0705,11683.25277,102345294.3
33.65234375,61.89453125,3.125976563,0.307255859,1.213642578,3.718388672,1.057705078,0.906855469,0.870136719,0.581894531,0.523144531,122.6953125,0.061757813,0.688964844,0.059804688,929.0039063,0.042226563,0.44453125,0.46171875,8.274414063,10.30761719,5.844726563,0.879589844,0,1,1,29025.91886,21452.59731,22524.43353,1198.063941,417.4687628,365.2925429,94315.34835,3097.06034,27130248.58
29.90234375,35.64453125,4.813476563,1.866630859,2.773017578,2.782763672,4.488330078,0.613105469,0.693886719,0.170644531,0.581894531,145.1953125,0.054257813,1.532714844,0.042304688,1135.253906,0.059726563,0.59453125,0.21171875,10.46191406,14.37011719,3.407226563,0.710839844,1,1,0,20267.01542,18365.49839,20527.79302,838.1537955,506.1731348,659.4538523,76746.23346,2219.499417,19442814.9
59.90234375,65.64453125,3.313476563,4.361630859,0.278017578,0.287763672,1.993330078,0.143105469,0.223886719,0.640644531,0.111894531,-34.8046875,0.034257813,0.782714844,0.062304688,985.2539063,0.039726563,0.19453125,0.61171875,6.961914063,11.87011719,4.907226563,0.860839844,0,0,1,65876.50798,55349.19231,64588.1752,3058.642968,1275.927398,1130.546444,229774.7818,8396.531268,73553613.91
74.90234375,20.64453125,5.563476563,0.619130859,1.525517578,1.535263672,3.240830078,0.378105469,0.458886719,0.875644531,0.346894531,-124.8046875,0.064257813,1.907714844,0.052304688,1060.253906,0.049726563,0.79453125,0.81171875,8.711914063,13.12011719,5.657226563,0.785839844,1,1,1,77022.39325,74580.88945,80519.66809,6775.155265,5664.948555,6489.271724,243212.6942,24303.71239,212900520.5
44.90234375,50.64453125,4.063476563,3.114130859,4.020517578,4.030263672,0.745830078,0.848105469,0.928886719,0.405644531,0.816894531,55.1953125,0.044257813,1.157714844,0.032304688,910.2539063,0.069726563,0.39453125,0.41171875,5.211914063,10.62011719,4.157226563,0.935839844,0,0,0,46617.12801,44587.74441,51396.28594,2648.900405,1905.330883,2689.364635,164223.1465,12117.16274,106146345.6
37.40234375,28.14453125,3.688476563,3.737880859,4.644267578,3.406513672,2.617080078,0.260605469,0.341386719,0.523144531,0.464394531,10.1953125,0.069257813,0.595214844,0.037304688,947.7539063,0.064726563,0.49453125,0.91171875,11.33691406,14.99511719,3.032226563,0.823339844,0,0,1,24599.88143,23188.12459,26054.39677,1269.422299,941.7284284,1292.450008,79329.77945,3864.834647,33855951.51
67.40234375,58.14453125,5.188476563,1.242880859,2.149267578,0.911513672,0.122080078,0.730605469,0.811386719,0.053144531,0.934394531,-169.8046875,0.049257813,1.345214844,0.057304688,1097.753906,0.044726563,0.89453125,0.51171875,7.836914063,12.49511719,4.532226563,0.973339844,1,1,0,104926.5494,95641.74347,102761.6127,5991.275175,3816.283469,4389.820954,342011.7996,17795.79032,155891123.2
52.40234375,43.14453125,4.438476563,4.985380859,0.901767578,2.159013672,3.864580078,0.495605469,0.576386719,0.288144531,0.699394531,-79.8046875,0.059257813,0.970214844,0.067304688,1022.753906,0.034726563,0.29453125,0.31171875,9.586914063,13.74511719,5.282226563,0.748339844,0,0,0,36359.76886,28600.40601,28496.5855,1587.204764,650.3801335,532.1879741,120410.125,3337.385062,29235493.14
22.40234375,73.14453125,5.938476563,2.490380859,3.396767578,4.654013672,1.369580078,0.025605469,0.106386719,0.758144531,0.229394531,100.1953125,0.039257813,1.720214844,0.047304688,1172.753906,0.054726563,0.69453125,0.71171875,6.086914063,11.24511719,3.782226563,0.898339844,1,1,1,73810.3929,67169.86809,70248.52133,6829.909185,5600.721406,6360.281233,237850.0239,34175.1184,299374037.2
23.33984375,30.95703125,4.954101563,0.229287109,2.227236328,3.952294922,4.098486328,0.128417969,0.767324219,0.361582031,0.332207031,-29.1796875,0.058632813,0.618652344,0.039179688,952.4414063,0.051601563,0.78203125,0.47421875,5.758789063,10.07324219,5.422851563,0.940527344,0,0,0,22868.47542,20770.95947,21948.48498,1689.507484,1317.580299,1551.326287,77945.219,7539.305265,66044314.12
53.33984375,60.95703125,3.454101563,2.724287109,4.722236328,1.457294922,1.603486328,0.598417969,0.297324219,0.831582031,0.802207031,150.8203125,0.038632813,1.368652344,0.059179688,1102.441406,0.031601563,0.38203125,0.87421875,9.258789063,12.57324219,3.922851563,0.790527344,1,1,1,72934.47285,63360.98459,64961.8855,3875.967001,2165.987489,2036.463274,238526.7576,10346.95083,90639289.25
68.33984375,45.95703125,5.704101563,1.476787109,3.474736328,0.209794922,2.850986328,0.833417969,0.062324219,0.596582031,0.567207031,60.8203125,0.068632813,0.993652344,0.069179688,1027.441406,0.041601563,0.58203125,0.67421875,7.508789063,11.32324219,3.172851563,0.865527344,0,0,1,115048.5415,103022.4827,100578.0769,8800.56061,6158.7501,6734.869831,330758.7016,29964.50177,262489035.5
38.33984375,75.95703125,4.204101563,3.971787109,0.979736328,2.704794922,0.355986328,0.363417969,0.532324219,0.126582031,0.097207031,-119.1796875,0.048632813,1.743652344,0.049179688,1177.441406,0.061601563,0.18203125,0.27421875,11.00878906,13.82324219,4.672851563,0.715527344,1,1,0,27969.83562,26825.71603,39614.95217,854.8514274,294.2538909,520.4086046,143354.8619,2254.404185,19748580.66
45.83984375,38.45703125,3.079101563,4.595537109,0.355986328,4.576044922,3.474736328,0.715917969,0.179824219,0.949082031,0.684707031,-164.1796875,0.063632813,1.556152344,0.044179688,1139.941406,0.066601563,0.28203125,0.77421875,6.633789063,10.69824219,5.797851563,0.903027344,1,1,1,42028.32924,40939.64705,51410.97181,2651.448278,1859.299391,2750.265714,157068.0289,10838.98798,94949534.74
75.83984375,68.45703125,4.579101563,2.100537109,2.850986328,2.081044922,0.979736328,0.245917969,0.649824219,0.479082031,0.214707031,15.8203125,0.043632813,0.806152344,0.064179688,989.9414063,0.046601563,0.68203125,0.37421875,10.13378906,13.19824219,4.297851563,0.753027344,0,0,0,64643.38639,41868.40009,40715.24742,3532.261901,1764.395369,1852.222512,346892.8054,8375.586841,73370140.73
60.83984375,23.45703125,3.829101563,3.348037109,4.098486328,0.833544922,4.722236328,0.010917969,0.884824219,0.244082031,0.449707031,105.8203125,0.053632813,1.931152344,0.054179688,1064.941406,0.036601563,0.48203125,0.57421875,8.383789063,11.94824219,3.547851563,0.978027344,1,1,0,37005.16735,33623.80657,35479.30913,2247.170431,1367.120633,1462.0239,121342.9036,6939.623067,60791098.06
30.83984375,53.45703125,5.329101563,0.853037109,1.603486328,3.328544922,2.227236328,0.480917969,0.414824219,0.714082031,0.919707031,-74.1796875,0.033632813,1.181152344,0.034179688,914.9414063,0.056601563,0.88203125,0.97421875,11.88378906,14.44824219,5.047851563,0.828027344,0,0,1,66331.55828,64893.54099,68517.91077,4558.494919,4016.742389,4754.204009,199414.3064,14611.11775,127993391.5
34.58984375,49.70703125,4.016601563,2.412412109,4.410361328,3.016669922,3.162861328,0.774667969,0.238574219,0.067832031,0.860957031,-6.6796875,0.041132813,1.837402344,0.066679688,1158.691406,0.044101563,0.13203125,0.72421875,7.071289063,11.01074219,4.485351563,0.996777344,1,0,0,53823.84216,49861.58885,55965.655,4244.776971,2809.385671,3364.835484,175577.6142,14600.50522,127900425.7
64.58984375,79.70703125,5.516601563,4.907412109,1.915361328,0.521669922,0.667861328,0.304667969,0.708574219,0.537832031,0.390957031,173.3203125,0.061132813,1.087402344,0.046679688,1008.691406,0.064101563,0.53203125,0.32421875,10.57128906,13.51074219,5.985351563,0.846777344,0,1,1,84904.61742,78007.03811,98971.90992,3050.972309,1686.746843,2536.5331,345891.0257,9435.292081,82653158.63
79.58984375,34.70703125,3.266601563,1.164912109,0.667861328,1.769169922,4.410361328,0.069667969,0.943574219,0.772832031,0.155957031,83.3203125,0.031132813,1.462402344,0.036679688,1083.691406,0.054101563,0.33203125,0.52421875,5.321289063,12.26074219,5.235351563,0.921777344,1,0,1,46581.31127,43732.88883,53146.513,2196.939584,1287.557282,1668.565306,171071.2427,8099.007521,70947305.88
49.58984375,64.70703125,4.766601563,3.659912109,3.162861328,4.264169922,1.915361328,0.539667969,0.473574219,0.302832031,0.625957031,-96.6796875,0.051132813,0.712402344,0.056679688,933.6914063,0.034101563,0.73203125,0.92421875,8.821289063,14.76074219,3.735351563,0.771777344,0,1,0,104184.1376,96286.12946,101039.7902,6922.9066,4952.965642,5258.133248,329534.3195,21411.24768,187562529.7
42.08984375,27.20703125,5.891601563,3.036162109,2.539111328,3.640419922,3.786611328,0.187167969,0.826074219,0.655332031,0.038457031,-141.6796875,0.036132813,0.899902344,0.051679688,971.1914063,0.039101563,0.83203125,0.42421875,7.946289063,10.38574219,4.110351563,0.884277344,0,1,1,37700.53829,35093.64999,36937.39823,2219.719892,1552.06639,1761.863197,119213.6558,7064.922211,61888718.56
72.08984375,57.20703125,4.391601563,0.541162109,0.044111328,1.145419922,1.291611328,0.657167969,0.356074219,0.185332031,0.508457031,38.3203125,0.056132813,1.649902344,0.031679688,1121.191406,0.059101563,0.43203125,0.82421875,11.44628906,12.88574219,5.610351563,0.734277344,1,0,0,98799.56349,96221.53787,111080.4615,4723.684169,3705.432858,5244.152925,334824.7474,15166.8649,132861736.5
